"t","year","l","al","ga","sigma","rr","etree","cost1","pbacktime","partfract","forcoth","cpricebase"
"1",2010.0000000000,6838.0000000000,3.8000000000,0.0158000000,0.5491283629,1.0000000000,3.3000000000,0.0674643417,344.0000000000,1.0000000000,0.2500000000,1.0000000000
"2",2011.0000000000,6921.6907016458,3.8610038610,0.0157054838,0.5436535603,0.9852216749,3.1559632493,0.0664543739,342.2625373975,1.0000000000,0.2550000000,1.0200000000
"3",2012.0000000000,7003.9886114076,3.9226103545,0.0156115331,0.5382387346,0.9706617486,3.0182133427,0.0654601817,340.5338503074,1.0000000000,0.2600000000,1.0404000000
"4",2013.0000000000,7084.8893869052,3.9848194958,0.0155181443,0.5328831750,0.9563169937,2.8864758752,0.0644815085,338.8138944068,1.0000000000,0.2650000000,1.0612080000
"5",2014.0000000000,7164.3904685984,4.0476312212,0.0154253142,0.5275861800,0.9421842303,2.7604884188,0.0635181023,337.1026255965,1.0000000000,0.2700000000,1.0824321600
"6",2015.0000000000,7242.4909902817,4.1110453881,0.0153330394,0.5223470566,0.9282603254,2.6400000000,0.0625697153,335.4000000000,1.0000000000,0.2750000000,1.1040808032
"7",2016.0000000000,7319.1916909557,4.1750617749,0.0152413166,0.5171651209,0.9145421925,2.5247705994,0.0616361037,333.7059739625,1.0000000000,0.2800000000,1.1261624193
"8",2017.0000000000,7394.4948282736,4.2396800815,0.0151501425,0.5120396976,0.9010267907,2.4145706742,0.0607170280,332.0205040497,1.0000000000,0.2850000000,1.1486856676
"9",2018.0000000000,7468.4040937392,4.3048999290,0.0150595138,0.5069701197,0.8877111238,2.3091807002,0.0598122527,330.3435470466,1.0000000000,0.2900000000,1.1716593810
"10",2019.0000000000,7540.9245298068,4.3707208602,0.0149694273,0.5019557290,0.8745922402,2.2083907351,0.0589215462,328.6750599566,1.0000000000,0.2950000000,1.1950925686
"11",2020.0000000000,7612.0624490151,4.4371423398,0.0148798796,0.4969958753,0.8616672317,2.1120000000,0.0580446808,327.0150000000,1.0000000000,0.3000000000,1.2189944200
"12",2021.0000000000,7681.8253552654,4.5041637543,0.0147908677,0.4920899167,0.8489332332,2.0198164796,0.0571814326,325.3633246135,1.0000000000,0.3050000000,1.2433743084
"13",2022.0000000000,7750.2218673353,4.5717844125,0.0147023882,0.4872372195,0.8363874219,1.9316565393,0.0563315816,323.7199914485,1.0000000000,0.3100000000,1.2682417946
"14",2023.0000000000,7817.2616447035,4.6400035457,0.0146144379,0.4824371577,0.8240270166,1.8473445601,0.0554949114,322.0849583705,1.0000000000,0.3150000000,1.2936066305
"15",2024.0000000000,7882.9553157448,4.7088203079,0.0145270138,0.4776891135,0.8118492775,1.7667125881,0.0546712091,320.4581834577,1.0000000000,0.3200000000,1.3194787631
